# Aktif filtreler:
# - folder: 698fd5ac-0219-415b-ad42-4a79bd0498ee
#,Domain,Domain Type,Citations,Appearance Rate %,Brand Citations,Competitor Citations,Gap Score,Top Prompts
323,ventulusofficial.com,corporate,1,3.7,0,0,0,Orijinal marka çanta ve aksesuarı online nereden alınır? (1)
324,rekclick.com,corporate,1,3.7,0,1,10,Bir ürünü markanın resmi sitesinden mi yoksa pazaryerinden mi almak daha mantıklı? (1)
325,residencetr.com,corporate,1,3.7,0,1,10,Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (1)
326,retailturkiye.com,corporate,1,3.7,0,1,10,Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1)
327,vibee.com.tr,corporate,1,3.7,0,0,0,Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
328,rotakamp.com.tr,corporate,1,3.7,0,0,0,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (1)"
329,rovabilisim.com,corporate,1,3.7,0,1,10,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
330,rufus.com.tr,corporate,1,3.7,0,0,0,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (1)
331,biggdesign.com,corporate,1,3.7,0,0,0,Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (1)
332,sarar.com,corporate,1,3.7,1,0,0,Havlu ve bornoz setini online nereden almalıyım? (1)
333,vivense.com,corporate,1,3.7,0,1,10,Ev tekstili ve ev ihtiyaçlarımı tek siteden online nereden alabilirim? (1)
334,vizyonedt.com,corporate,1,3.7,0,0,0,Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1)
335,schark.com.tr,corporate,1,3.7,0,1,10,Orijinal marka çanta ve aksesuarı online nereden alınır? (1)
336,selintekstil.com,corporate,1,3.7,1,1,0,Havlu ve bornoz setini online nereden almalıyım? (1)
337,semseocu.com,corporate,1,3.7,0,1,10,Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
338,alibabasut.com,corporate,1,3.7,0,0,0,İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1)
339,sephora.com.tr,corporate,1,3.7,0,0,0,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (1)
340,setabianca.shop,other,1,3.7,0,1,10,Nevresim takımı almak için en iyi online siteler hangileri? (1)
341,setekshome.com,corporate,1,3.7,1,0,0,Havlu ve bornoz setini online nereden almalıyım? (1)
342,sevenden.com.tr,corporate,1,3.7,0,1,10,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
343,shiftdelete.net,editorial,1,3.7,0,1,10,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
344,shopify.com,corporate,1,3.7,0,1,10,Türkiye'de online alışveriş için en güvenilir siteler hangileri? (1)
345,alesyacamp.com,corporate,1,3.7,0,0,0,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (1)"
346,berlyn.com.tr,corporate,1,3.7,0,0,0,Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
347,albakgida.com,corporate,1,3.7,0,0,0,Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1)
348,beekod.com,corporate,1,3.7,0,1,10,Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (1)
349,simyaevi.com,corporate,1,3.7,0,1,10,Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
350,becommer.com,corporate,1,3.7,0,1,10,Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (1)
351,sivugin.com,corporate,1,3.7,0,1,10,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (1)
352,bathandbodyworks.com.tr,corporate,1,3.7,0,0,0,Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
353,soley.com.tr,corporate,1,3.7,0,1,10,Nevresim takımı almak için en iyi online siteler hangileri? (1)
354,enzahome.com.tr,corporate,1,3.7,0,1,10,Nevresim takımı almak için en iyi online siteler hangileri? (1)
355,sonhaberler.com,editorial,1,3.7,0,0,0,Online sipariş verip mağazadan gel-al (tıkla-teslim al) yapabileceğim marketler hangileri? (1)
356,ercagkirtasiye.com,corporate,1,3.7,0,0,0,Okul ve kırtasiye alışverişini online nereden yapabilirim? (1)
357,basarhome.com,corporate,1,3.7,0,0,0,Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
358,ersasaat.com.tr,corporate,1,3.7,0,1,10,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (1)
359,enplus.com.tr,corporate,1,3.7,0,1,10,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (1)
360,espressolab.com,corporate,1,3.7,0,1,10,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (1)
361,sosyopix.com,ugc,1,3.7,0,1,10,"Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (1)"
362,eniyimarka.com,corporate,1,3.7,0,1,10,Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (1)
363,aksesu.com,corporate,1,3.7,0,1,10,Nevresim takımı almak için en iyi online siteler hangileri? (1)
364,evtekstilimerkezi.com,corporate,1,3.7,0,0,0,Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
365,zunapro.com,corporate,1,3.7,0,1,10,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
366,akra.media,other,1,3.7,0,1,10,Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
367,en-iyi.com.tr,corporate,1,3.7,0,1,10,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (1)
368,farukgullu.com.tr,corporate,1,3.7,0,0,0,Yaş pasta ve özel gün ürünlerini online sipariş edebileceğim siteler hangileri? (1)
369,surdur.com,corporate,1,3.7,0,1,10,Bir ürünü markanın resmi sitesinden mi yoksa pazaryerinden mi almak daha mantıklı? (1)
370,sutraevveyasam.com,corporate,1,3.7,0,1,10,Nevresim takımı almak için en iyi online siteler hangileri? (1)
371,fohmofficial.com,corporate,1,3.7,0,0,0,Orijinal marka çanta ve aksesuarı online nereden alınır? (1)
372,enderhome.com,corporate,1,3.7,0,0,0,Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
373,gazeteoksijen.com,corporate,1,3.7,0,1,10,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (1)
374,gbag.com.tr,corporate,1,3.7,0,0,0,Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (1)
375,suudcollection.com,corporate,1,3.7,0,1,10,Orijinal marka çanta ve aksesuarı online nereden alınır? (1)
376,enchante.com.tr,corporate,1,3.7,0,1,10,Orijinal marka çanta ve aksesuarı online nereden alınır? (1)
377,globalcare.com.tr,corporate,1,3.7,0,0,0,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (1)
378,grandlion.com.tr,corporate,1,3.7,0,0,0,Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (1)
379,bankkart.com.tr,corporate,1,3.7,0,1,10,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (1)
380,grupanda.org,corporate,1,3.7,0,1,10,Shein ve Temu yerine güvenli ve yerli alternatif alışveriş siteleri hangileri? (1)
381,yemeksepeti.com,editorial,1,3.7,0,1,10,Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (1)
382,tamliste.tr,editorial,1,3.7,0,1,10,Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
383,emsan.com.tr,corporate,1,3.7,0,1,10,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (1)
384,haasat.com,corporate,1,3.7,0,0,0,İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1)
385,hafeztaplux.com,ugc,1,3.7,0,1,10,Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (1)
386,halukkitabevi.com,corporate,1,3.7,0,0,0,Okul ve kırtasiye alışverişini online nereden yapabilirim? (1)
387,elleshoes.com,corporate,1,3.7,0,1,10,Orijinal marka çanta ve aksesuarı online nereden alınır? (1)
388,ellarisderi.com,corporate,1,3.7,0,1,10,Orijinal marka çanta ve aksesuarı online nereden alınır? (1)
389,dogakampmalzemeleri.com,corporate,1,3.7,0,0,0,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (1)"
390,tarladanpazara.com,corporate,1,3.7,0,0,0,İnternetten market alışverişi yapılan en güvenilir siteler hangileri? (1)
391,hdluxuryboutique.com.tr,corporate,1,3.7,0,1,10,Orijinal marka çanta ve aksesuarı online nereden alınır? (1)
392,azresa.com,corporate,1,3.7,0,0,0,Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (1)
393,aydinpastane.com.tr,corporate,1,3.7,0,0,0,Yaş pasta ve özel gün ürünlerini online sipariş edebileceğim siteler hangileri? (1)
394,diffreight.com,corporate,1,3.7,0,1,10,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
395,aracikargom.com,corporate,1,3.7,0,1,10,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
396,hipicon.com,corporate,1,3.7,0,1,10,"Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (1)"
397,hiremco.com.tr,corporate,1,3.7,0,1,10,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
398,tedariksepetim.com,corporate,1,3.7,0,0,0,Aylık market ihtiyacımı toplu ve uygun fiyata online nereden karşılarım? (1)
399,hometex.org,corporate,1,3.7,1,0,0,Havlu ve bornoz setini online nereden almalıyım? (1)
400,hopi.com.tr,corporate,1,3.7,0,1,10,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (1)
401,teknodiot.com,corporate,1,3.7,0,1,10,Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
402,hulkapps.com,corporate,1,3.7,0,1,10,Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
403,diclexstore.com.tr,corporate,1,3.7,0,0,0,Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (1)
404,teknoloji.org,corporate,1,3.7,0,1,10,Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
405,deyim.com.tr,corporate,1,3.7,0,1,10,"Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (1)"
406,desa.com.tr,corporate,1,3.7,0,1,10,Kaliteli valiz veya kabin boy valizi online nereden alabilirim? (1)
407,deryakozmetik.com.tr,editorial,1,3.7,0,0,0,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (1)
408,ikincivadi.com,corporate,1,3.7,0,1,10,Bir ürünü markanın resmi sitesinden mi yoksa pazaryerinden mi almak daha mantıklı? (1)
409,ikrakirtasiye.com,corporate,1,3.7,0,0,0,Okul ve kırtasiye alışverişini online nereden yapabilirim? (1)
410,iksirparfum.com,editorial,1,3.7,0,0,0,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (1)
411,indirimcipanda.com,corporate,1,3.7,0,1,10,"Amazon, AliExpress ve Temu yerine kullanabileceğim yerli alışveriş siteleri neler? (1)"
412,aotekyazilim.com,corporate,1,3.7,0,1,10,Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
413,indirimist.com,corporate,1,3.7,0,1,10,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (1)
414,tektava.com,corporate,1,3.7,0,0,0,Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (1)
415,indirimkodu.com,corporate,1,3.7,0,1,10,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (1)
416,dermokozmetika.com.tr,editorial,1,3.7,0,1,10,Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
417,tepehome.com.tr,corporate,1,3.7,0,1,10,"Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (1)"
418,dermoeczanem.com,corporate,1,3.7,0,1,10,Parfüm ve kozmetiği orijinal olarak online nereden alabilirim? (1)
419,tepsistore.com,corporate,1,3.7,0,0,0,Çeyiz alışverişimi tek siteden yapmak istesem nereyi önerirsin? (1)
420,interiadesignstore.com,corporate,1,3.7,0,1,10,"Ev dekorasyon ürünlerini (mum, vazo, çerçeve) online nereden alabilirim? (1)"
421,ipekyol.com.tr,corporate,1,3.7,0,1,10,Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
422,isarder.org,corporate,1,3.7,0,1,10,Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
423,denizliconcept.com,corporate,1,3.7,1,0,0,Havlu ve bornoz setini online nereden almalıyım? (1)
424,akilisleri.com,corporate,1,3.7,0,1,10,Aynı gün veya hızlı teslimat yapan online market uygulamaları hangileri? (1)
425,isbiryatak.com,corporate,1,3.7,1,1,0,Nevresim takımı almak için en iyi online siteler hangileri? (1)
426,issimohome.com,corporate,1,3.7,0,1,10,Nevresim takımı almak için en iyi online siteler hangileri? (1)
427,istanbulhomes.com,corporate,1,3.7,0,1,10,Kaliteli ürünleri uygun fiyata satan yerli e-ticaret siteleri hangileri? (1)
428,istanbulpasta.web.tr,corporate,1,3.7,0,0,0,Yaş pasta ve özel gün ürünlerini online sipariş edebileceğim siteler hangileri? (1)
429,iyioneri.tr,corporate,1,3.7,0,1,10,Müşteri memnuniyeti en yüksek ve en çok beğenilen online alışveriş siteleri hangileri? (1)
430,dellel.com,corporate,1,3.7,0,1,10,Orijinal marka çanta ve aksesuarı online nereden alınır? (1)
431,joyaplus.com.tr,corporate,1,3.7,0,0,0,Sevdiklerime ev tekstili veya kişisel bakım hediyesi almak için hangi siteler iyi? (1)
432,jumbo.com.tr,corporate,1,3.7,0,1,10,Ev tekstili ve ev ihtiyaçlarımı tek siteden online nereden alabilirim? (1)
433,akbank.com,corporate,1,3.7,0,1,10,İndirim ve kampanya açısından en avantajlı online alışveriş siteleri hangileri? (1)
434,kampciyiz.com,corporate,1,3.7,0,0,0,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (1)"
435,kampveotesi.com,corporate,1,3.7,0,1,10,"Kamp malzemelerini (sandalye, masa, termos) online nereden alabilirim? (1)"
436,termos-fiyatlari.com,corporate,1,3.7,0,1,10,Kaliteli paslanmaz çelik termosu online nereden alabilirim? (1)
